,Band Name
378,Dying Leaf
379,Hovercraft Hammerfist
380,Bloodlust
381,Pale Hands of Cold
382,Mun-Ra
383,Ignis
384,Shepherds Crook
385,Mortalis
386,Superstition
387,False Prophet
388,Caustic Wound
389,Invader
390,Full of Hell
391,Diabolic Oath
392,Mayhem
393,Vigía de la Eternidad
394,Chaotian
395,Void Rot
396,Cerebral Rot
397,Gnosis
398,Kuthah
399,Godless
400,Purification
401,Neverending
402,Vitriol
403,Gabestok
404,Gutless
405,Grim Christmas
406,Sythe
407,Primitive Warfare
408,Grave Infestation
409,Morbid Vision
410,Malignant Altar
411,Bloodlust
412,Frozen Soul
413,Beyond Death
414,Fenece
415,Dreamkeeper
416,Undeath
417,Ignis
418,Wormfoot
419,Sedimentum
420,Goatsmegma
421,Grotesque Masturbation
422,Dirtnap
423,Sanguisugabogg
424,Skeletal Prison
425,Incinerator
426,Black Curse
427,Dead for Ages
428,Altar
429,Incinerator
430,Wilczyca
431,Tzompantli
432,Incinerator
433,Wharflurch
434,Apathist
435,Dirtnap
436,Misa Venenna
437,200 Stab Wounds
438,Methgoat
439,Noroth
440,Firienholt
441,Panopticon
442,Gravesend
443,Morbific
444,Immortal
445,Mystras
446,Seth
447,The Hangmans Sorrow
448,Eternal Champion
449,Snuffed on Sight
450,VX
451,Steel Cage
452,Seventrain
453,Eternal Nightmare
454,Gnosis
455,Stormkeep
456,Perilaxe Occlusion
457,Maligno
458,Chainsword
459,Play for Blood
460,Forbidden Messiah
461,Gravesend
462,Belial
463,Tribal Gaze
464,SchwAinemeet
465,Void
466,Pelugion
467,Bodybox
468,Revenge
469,The Gathering
470,Disembodiment
471,Sik Mentality
472,Invader
473,Diabolic Oath
474,Mayhem
475,Altar
476,PeelingFlesh
477,Dream Unending
478,Flaming Ouroboros
479,Incinerated
480,Pieces
481,A.R.O.
482,Black Seed
483,Blutaxt
484,Eternal War
485,Mortalis
486,Scab Hag
487,Inception
488,Invader
489,Ulthar
490,Suffering Hour
491,Inception
492,Sequestrum
493,Unaligned
494,Bekor Qilish
495,Eisenhower
496,ChaosMancer
497,Void
498,Vile Execution
499,"Damage, Inc."
500,Outer Heaven
501,Seth
502,Weedreek
503,Earth Weary Twin
504,Hellbutcher
505,Cerebral Rot
506,Attack
507,Röcheln
508,Exit Catacomb
509,Avitar
510,Nightfall Dissension
511,Ajal
512,Feeble Deity
513,Inception
514,Stenched
515,Id.
516,Antediluvian
517,Zima
518,Coprolith
519,Worm
520,"Damage, Inc."
521,Kanalia
522,Scorched
523,Carnal Rot
524,Aversja
525,Altar
526,Apathist
527,DreamGate
528,Metsavaim
529,Worm
530,Abyssinia
531,Moru
532,Gnosis
533,Pustulent
534,Martyrdöd
535,Sakatat
536,Invader
537,Hammer
538,Wolves in the Throne Room
539,Metalasia
540,Toxic Holocaust
541,Ahab
542,Atsphear
543,Unleashed
544,Obscure Infinity
545,Old Man's Child
546,Purification
547,Morbid Vision
548,Imprecation
549,Audiovision
550,Revenge
551,Incinerator
552,Nightbringer
553,Marduk
554,Graveland
555,Wormed
556,Malignancy
557,Mayhem
558,Absu
559,Nekrokrist SS
560,Bloodlust
561,Revenge
562,Necropsia
563,Disembowelment
564,Deathspell Omega
565,Bestial Mockery
566,Ölüm Dışı
567,Archgoat
568,Invader
569,Mgła
570,Dying Fetus
571,Seth
572,Baptism
573,Belial
574,Invader
575,Godless
576,Midnight
577,Imprecation
578,Seth
579,Ulcerate
580,Mortalis
581,Antediluvian
582,Brutality
583,Watain
584,After Forever
585,Weakling
586,Dark Fortress
587,Revenge
588,Void
589,Mayhem
590,Dead Head
591,Portal
592,Eternal War
593,Purification
594,Morbid Vision
595,Heavy the World
596,Morbid Vision
597,Sabbat
598,Lamb of God
599,Nunslaughter
600,Worm
601,Ossuary
602,Tzompantli
603,Pissmark
604,Mystifier
605,Esfinge de Gizeh
606,Necropsia
607,Altar
608,Nifelheim
609,Behexen
610,Necropsia
611,Ushitora
612,Bloodlust
613,Revenge
614,Asphyx
615,Beyond Death
616,Spellhold
617,Dark Funeral
618,Mayhem
619,Morbid Angel
620,Maligno
621,Akoma
622,Dimmu Borgir
623,Mayhem
624,Void
625,Entombed
626,Diocletian
627,Mutilator
628,Belial
629,Slayer
630,Worm
631,Creeping Death
632,Immortal
633,Revenge
634,Revenge
635,Godless
636,Pieces
637,An Axis of Perdition
638,Wotan
639,Maverick's Bad Breath
640,The Gathering
641,Type O Negative
642,Mortician
643,Human Rage
644,Drowning the Light
645,Blood Red Throne
646,Halcyon
647,Necropsia
648,Eisenhower
649,Deeds of Flesh
650,Regorge
651,Heavy Weather
652,Prosanctus Inferi
653,Vitriol
654,Belial
655,Attack
656,Thergothon
657,Burzum
658,Belial
659,Beyond Death
660,Incantation
661,Sacred Moon
662,Morbid Saint
663,Angelcorpse
664,Morbid Vision
665,Mütiilation
666,Sacramentum
667,Possessed
668,Godless
669,Judas Iscariot
670,Decrepit Birth
671,Necropsia
672,Mayhem
673,Drudkh
674,Incinerator
675,Revenge
676,Void
677,Blotted Science
678,Ossuary
679,Nargaroth
680,Coprolith
681,Brainless
682,Revenge
683,Bloodlust
684,Satanic Warmaster
685,Ofermod
